id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
71,Charlie Muffin,1979,Spy,109,Great Britain,Jack Gold,1,2,1,3,6,13
78,Absolute Beginners,1986,Musical,100,Great Britain,Julien Temple,1,2,0,2,6,31
94,Arrêt sur image,1987,Drama,77,France,Christine Allen,0,1,1,0,4,4
97,Water,1985,Grotesque,97,Great Britain,Dick Clement,2,3,0,1,6,5
109,Adam and Evelyne,1949,Comedy,92,Great Britain,Harold French,1,2,1,0,6,11
118,The Browning Version,1951,Comedy,90,Great Britain,Anthony Asquith,0,3,3,2,8,24
122,Une ravissante idiote,1963,Comedy,108,France,Edouard Molinaro,2,2,0,0,5,14
134,Section Spéciale,1974,Drama,115,France,Costa-Gavras,0,2,2,3,8,33
150,L'âge d'or,1930,Drama,60,France,Luis Buñuel,2,2,4,3,8,110
153,On Her Majesty's Secret Services,1969,Spy,140,Great Britain,Peter R. Hunt,1,3,0,2,7,156
154,From Russia with Love,1963,Spy,115,Great Britain,Terence Young,1,3,0,2,7,198
155,The Man with the Golden Gun,1974,Spy,122,Great Britain,Guy Hamilton,2,4,1,2,5,126
158,You Only Live Twice,1967,Spy,116,Great Britain,Lewis Gilbert,2,3,1,3,6,131
159,Thunderball,1965,Spy,132,Great Britain,Terence Young,1,3,0,2,7,157
162,Diamonds Are Forever,1971,Spy,122,Great Britain,Guy Hamilton,1,2,0,2,5,125
169,Madame Sin,1972,Spy,73,Great Britain,David Greene,1,2,0,2,4,7
181,Die Flusspiraten vom Mississippi,1964,Western,86,Germany,Jürgen Roland,0,2,0,1,4,5
205,Die Nackte und der Satan,1959,Horror,92,Germany,Victor Trivas,1,3,1,3,6,5
220,Le jour se lève,1939,Drama,87,France,Marcel Carné,0,3,3,3,8,55
229,Alfie,1966,Drama,110,Great Britain,Lewis Gilbert,1,2,2,2,7,36
231,Alfred the Great,1969,Biography,120,Great Britain,Clive Donner,0,3,2,3,8,8
232,Q Planes,1939,Spy,82,Great Britain,Tim Whelan,0,2,0,3,7,4
236,Time Without Pity,1956,Thriller,88,Great Britain,Joseph Losey,0,3,2,3,7,16
273,Allemagne neuf zéro,1991,Drama,62,France,Jean-Luc Godard,1,2,4,3,7,18
288,Hold My Hand I'm Dying,1988,Drama,106,Great Britain,Terence Ryan,0,1,0,1,6,3
298,Espion lève-toi,1981,Spy,98,France,Yves Boisset,0,2,0,2,7,9
300,L'amant,1992,Drama,112,France,Jean-Jacques Annaud,0,2,0,1,5,80
