week,day,room,screening,movie
0,0,0,0,Wallander: Skytten
0,0,0,1,Canola
0,0,0,2,Guns Akimbo
0,0,1,3,La mano de un hombre muerto
0,0,1,4,Vendetta for the Saint
0,1,0,0,Banchikwwang
0,1,0,1,Emilie Richards - Sehnsucht nach Paradise Island
0,1,0,2,Nobels testamente
0,1,1,3,Man of Aran
0,1,1,4,Salt and Pepper
0,2,0,0,Heimat - Eine Chronik in elf Teilen
0,2,0,1,A World Apart
0,2,0,2,I Met a Girl
0,2,1,3,Stroszek
0,2,1,4,Infini
0,3,0,0,Kvinnodröm
0,3,0,1,Wallander: Kuriren
0,3,0,2,The Hole in the Ground
0,3,1,3,La tribu
0,3,1,4,Jeff Beck: Still on the Run
0,4,0,0,Woomuk-Baemi ui sarang
0,4,0,1,Barrio
0,4,0,2,Ce jour-là
0,4,1,3,Fitzcarraldo
0,4,1,4,Männerherzen
1,0,0,0,Wallander: Skytten
1,0,0,1,Canola
1,0,0,2,Guns Akimbo
1,0,1,3,La mano de un hombre muerto
1,0,1,4,Vendetta for the Saint
1,1,0,0,Banchikwwang
1,1,0,1,Emilie Richards - Sehnsucht nach Paradise Island
1,1,0,2,Nobels testamente
1,1,1,3,Man of Aran
1,1,1,4,Salt and Pepper
1,2,0,0,Heimat - Eine Chronik in elf Teilen
1,2,0,1,A World Apart
1,2,0,2,I Met a Girl
1,2,1,3,Stroszek
1,2,1,4,Infini
1,3,0,0,Kvinnodröm
1,3,0,1,Wallander: Kuriren
1,3,0,2,Dark Touch
1,3,1,3,La tribu
1,3,1,4,Jeff Beck: Still on the Run
1,4,0,0,Woomuk-Baemi ui sarang
1,4,0,1,Barrio
1,4,0,2,Ce jour-là
1,4,1,3,Fitzcarraldo
1,4,1,4,Männerherzen
2,0,0,0,Wallander: Skytten
2,0,0,1,Canola
2,0,0,2,Guns Akimbo
2,0,1,3,La mano de un hombre muerto
2,0,1,4,Vendetta for the Saint
2,1,0,0,Banchikwwang
2,1,0,1,Emilie Richards - Sehnsucht nach Paradise Island
